"","Rivalry","Duration","DurationStart","RivalryEnds","PolityChange","OneOrBothDemocratic","DemocracyGrowth","CommonThreats","Security","IssueSalience","CivilWarShock","WorldWarShock","TerritorialShock","PowerShock"
"1",1,5,0,0,0,1,0,0,-100.8404,0,1,0,1,1
"2",1,10,5,0,0,1,0,0,-100.8218,0,1,0,1,1
"3",1,15,10,0,0,1,0,0,-101.7403,0,0,0,1,0
"4",1,20,15,0,0,1,0,0,-100.6073,0,0,0,1,0
"5",1,25,20,1,0,1,18,0,-100.7278,0,0,1,1,0
"6",2,4,0,0,0,0,0,0.15136629,-29.857531,2,1,0,1,1
"7",2,9,4,0,0,0,-35,0.23578361,-44.926472,2,1,0,1,1
"8",2,14,9,0,0,0,24,0,-19.599119,2,1,0,1,1
"9",2,19,14,0,1,1,35,0,-12.69406,2,1,0,0,1
"10",2,24,19,0,1,1,-54,0,-15.22287,2,1,0,0,1
"11",2,29,24,0,0,1,0,0,-16.98115,2,1,0,1,1
"12",2,34,29,0,0,1,0,0,-19.04904,2,1,0,1,1
"13",2,39,34,0,0,1,0,0,-24.82452,2,1,0,1,1
"14",2,44,39,0,0,1,0,0,-48.16515,2,0,0,1,0
"15",2,49,44,0,0,1,0,0,-55.62981,2,0,0,1,0
"16",2,54,49,0,1,1,54,0.0002717,-49.23867,2,1,0,1,0
"17",2,59,54,0,0,1,-2,0.0001336,-56.24662,2,1,1,1,0
"18",2,64,59,0,1,1,0,0,-58.23439,2,1,1,1,0
"19",2,69,64,1,0,1,-7,0,-41.480629,2,1,1,1,0
"20",3,6,0,0,1,1,0,0,-107.8748,0,1,0,1,0
"21",3,11,6,0,1,1,66,0,-99.531517,0,1,0,1,0
"22",3,16,11,0,0,1,-4,0,-100.9741,0,1,0,0,0
"23",3,21,16,0,0,1,0,0.0040702,-88.466263,0,1,0,0,0
"24",4,6,0,0,0,0,0,0,-2.128758,0,1,0,1,1
"25",4,11,6,0,0,0,0,0.0151865,-1.733947,0,1,0,1,1
"26",4,16,11,0,0,1,24,0.0016579001,-2.1924529,0,1,0,1,1
"27",4,21,16,0,0,1,0,0,-2.1546891,0,1,0,0,1
"28",4,26,21,0,0,1,5,0,-1.82889,0,1,0,0,1
"29",4,31,26,0,0,1,0,0.041754302,-1.919687,0,1,0,1,1
"30",4,36,31,0,0,1,0,0.20577049,-2.886605,0,1,0,1,1
"31",4,41,36,0,0,1,0,0.1695984,-2.8227761,0,1,0,1,1
"32",4,46,41,1,0,1,10,0.1269142,-2.5758259,0,0,0,1,0
"33",5,6,0,0,3,1,26,0,-3.8513949,0,1,0,0,1
"34",5,11,6,0,0,1,0,0,-4.0306048,0,1,0,0,1
"35",5,16,11,0,0,1,0,0,-4.433527,0,1,0,1,1
"36",5,21,16,0,0,1,5,0,-5.4647899,0,1,0,1,1
"37",5,26,21,1,0,1,-5,0,-6.2248578,0,1,0,1,1
"38",6,7,0,0,0,1,-7,0.2193816,-2.943224,0,1,0,1,0
"39",6,12,7,0,0,1,0,0.18160871,-3.0775869,0,1,0,1,0
"40",6,17,12,0,0,1,0,0.0093732001,-2.9201059,0,1,0,1,0
"41",6,22,17,0,0,1,0,0.0194642,-2.7124879,0,1,0,0,0
"42",6,27,22,0,1,1,70,0.022532601,-3.5764041,0,1,0,0,0
"43",7,4,0,1,0,1,15,0.3294163,-3.857132,0,1,0,1,0
"44",8,7,0,0,0,0,0,0,-15.58956,2,1,1,1,0
"45",8,12,7,0,2,0,-78,0,-8.7876806,2,0,1,1,0
